Activity ID,Activity Name,Summary Description,EAA Coverage,EAA Feature Description,Centra Coverage,Centra Feature Description
1.1.1,Inventory User,Create and maintain an inventory of all users to support identity management.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
1.2.1,Implement App Based Permissions per Enterprise,Implement application-based permissions using enterprise ICAM for privileged access.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.2.2,Rule Based Dynamic Access Pt1,Enable dynamic rule-based access for privileged users using JIT/JEA methods.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.2.3,Rule Based Dynamic Access Pt2,Integrate dynamic access controls with AI/ML for automated rule management.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
1.2.4,Enterprise Gov't roles and Permissions Pt1,Establish universal roles and permissions for organizations using enterprise IdP.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.2.5,Enterprise Gov't roles and Permissions Pt2,Mandate standardized roles and permissions for all access evaluations.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
1.3.1,Organizational MFA/IDP,Implement organizational multi-factor authentication and federated IdP solutions.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.3.2,Alternative Flexible MFA Pt1,Enable flexible self-service multi-factor authentication including biometrics.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.3.3,Alternative Flexible MFA Pt2,Use behavioral analytics to support access decisions and detect anomalies.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.4.1,Implement System and Migrate Privileged Users Pt1,Migrate privileged users to a managed system using PAM tools.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.4.2,Implement System and Migrate Privileged Users Pt2,Mitigate unauthorized access by managing privileged users with PAM solutions.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.4.3,Real time Approvals & JIT/JEA Analytics Pt1,Automate privilege access approvals and denials using analytics in PAM.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.4.4,Real time Approvals & JIT/JEA Analytics Pt2,Use user pattern analytics for real-time privilege account approvals.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.5.1,Organizational Identity Life- Cycle Management,Manage user identities throughout their lifecycle with risk-based exceptions.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
1.5.2,Enterprise Identity Life-Cycle Management Pt 1,Automate enterprise identity lifecycle management for attributes and permissions.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
1.5.3,Enterprise Identity LifeCycle Management Pt2,Move identity lifecycle management functions to the cloud for automation.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
1.5.4,Enterprise Identity LifeCycle Management Pt3,Integrate all identity management functions with enterprise ICAM.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
1.6.1,Implement User & Entity Behavior Activity (UEBA) and User Activity Monitoring (UAM) Tooling,Deploy UEBA and UAM tools to monitor user activity and detect anomalies.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
1.6.2,User Activity Monitoring Pt1,Integrate UEBA and UAM with JIT/JEA for critical applications and services.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.6.3,User Activity Monitoring Pt2,Use UEBA and UAM for real-time access decisions in JIT/JEA solutions.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.7.1,Deny User by Default Policy,Block user access by default and only grant permissions as needed ensuring decommissioned or reduced-privilege users are validated.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
1.8.1,Single Authentication,Require a single standardized authentication process for all users through the enterprise IdP.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.8.2,Periodic Authentication,Enforce periodic re-authentication based on timeouts or analytics to maintain secure user sessions.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.8.3,Continuous Authentication Pt 1,Implement continuous authentication using security attributes and multi-factor prompts.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.8.4,Continuous Authentication Pt 2,Enhance authentication by integrating user behavior patterns and additional security attributes.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.9.1,Enterprise PKI/IDP Pt1,Deploy a centralized or federated identity provider platform to manage secure user identities.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.9.2,Enterprise PKI/IDP Pt2,Integrate multi-factor authentication and public key infrastructure for enterprise-level identity management.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
1.9.3,Enterprise PKI/IDP Pt3,Expand PKI/IDP capabilities to support advanced identity and access requirements.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
2.1.1,Device Health Tool Gap Analysis,Assess and track device health to identify gaps and improve monitoring capabilities.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.1.2,NPE/PKI Device under Management,Manage all non-person entities (NPEs) and assign certificates for secure device authentication.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
2.1.3,Enterprise IDP Pt1,Integrate or retire devices as part of the enterprise identity lifecycle management process.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
2.1.4,Enterprise IDP Pt2,Enhance device profiles with advanced attributes and refine policies for NPEs.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Enforce compliance-based network authorization by checking device status before granting access.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.2.2,Implement C2C/Compliance Based Network Authorization Pt2,Integrate enterprise IdP and authorization gateways to manage dynamic network access.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
2.3.1,Enhance Data Tagging,Improve data tagging capabilities to support better access control and monitoring.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.3.2,Update Device Tagging Pt1,Update device tagging to improve asset management and security oversight.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.3.3,Update Device Tagging Pt2,Enhance device tagging with additional attributes to support risk management.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.3.4,Device & User Activity Monitoring Pt1,Monitor device and user activity to detect anomalies and improve security.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
2.3.5,Device & User Activity Monitoring Pt2,Apply advanced analytics to device and user monitoring for better threat detection.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
2.3.6,Device & User Activity Monitoring Pt3,Integrate device and user monitoring with enterprise security systems.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
2.3.7,Baseline & Profiling,Establish device and user baselines for behavioral analysis and anomaly detection.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
2.4.1,Mobile Device & App Management,Implement mobile device and application management solutions to secure mobile access.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.4.2,Managed Device Expansion Support,Expand managed device capabilities to cover more devices and use cases.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.4.3,Managed and Full BYOD & IOT Support,Support both managed and full bring-your-own-device (BYOD) and IoT solutions.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.4.4,Managed and Full BYOD & IOT Support Pt2,Expand BYOD and IoT support with enhanced management and security capabilities.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.5.1,Enterprise Device Management Pt1,Implement enterprise device management solutions to secure and manage all devices.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.6.1,Migrate Device Onboarding Pt1,Migrate device onboarding processes to support Zero Trust requirements.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.6.2,Migrate Device Onboarding Pt2,Enhance device onboarding with automated security checks and provisioning.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.6.3,Enterprise Device Management Pt2,Expand enterprise device management with advanced features and analytics.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
2.7.1,Implement Extended Detection & Response (XDR) Tools and Integrate with C2C,Deploy XDR tools and integrate them with cloud-to-cloud (C2C) security systems.,Not Covered,Outside EAA core capabilities (Identity & Application Access),Not Covered,Outside Centra core capabilities (Network Security & Segmentation)
2.7.2,Implement Extended Detection & Response (XDR) Tools and Integrate with C2C Pt1,Enhance XDR capabilities and improve integration with C2C for better threat response.,Not Covered,Outside EAA core capabilities (Identity & Application Access),Not Covered,Outside Centra core capabilities (Network Security & Segmentation)
2.7.3,Implement Extended Detection & Response (XDR) Tools and Integrate with C2C Pt2,Fully integrate XDR and C2C for comprehensive threat detection and response.,Not Covered,Outside EAA core capabilities (Identity & Application Access),Not Covered,Outside Centra core capabilities (Network Security & Segmentation)
3.1.1,Application Asset Discovery & Inventory,Discover and maintain an inventory of all applications to support security and compliance.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.2.1,Supply Chain Risk Management Pt1,Assess and manage supply chain risks to prevent introduction of vulnerabilities.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
3.2.2,Supply Chain Risk Management Pt2,Implement comprehensive supply chain risk management across all applications.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.2.3,C2C Lifecycle management as an enterprise service Pt1,Manage cloud-to-cloud (C2C) lifecycle as an enterprise service.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.2.4,C2C Lifecycle management as an enterprise service Pt2,Enhance C2C lifecycle management with automation and advanced features.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.3.1,App Registry & App Cataloging,Create and maintain application registries and catalogs for better visibility and management.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.3.2,Enhance Data Tagging & Labeling,Improve data tagging and labeling capabilities for applications and resources.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
